Incident_ID,Incident_Date,State,City Or County,Address,Full Address,Latitude,Longitude,Killed,Injured,Operations,label_col
459251,12/4/2015,Wisconsin,Milwaukee,7501 North Granville Road,Wisconsin Milwaukee 7501 North Granville Road,43.1551086,-88.0311117,0,0,School Incidents,Killed: 0 Injured:0
459095,12/4/2015,Massachusetts,Springfield,Plainfield Street,Massachusetts Springfield Plainfield Street,42.118102,-72.613667,0,0,School Incidents,Killed: 0 Injured:0
468680,12/4/2015,Mississippi,Monticello,713 W Thomas E Jolly Dr,Mississippi Monticello 713 W Thomas E Jolly Dr,31.5457901,-90.1147465,0,0,School Incidents,Killed: 0 Injured:0
462348,12/3/2015,Texas,Galveston,4015 Ave Q,Texas Galveston 4015 Ave Q,29.2839484,-94.8077893,0,0,School Incidents,Killed: 0 Injured:0
459322,12/3/2015,Georgia,Augusta,1235 15th Street,Georgia Augusta 1235 15th Street,33.4682106,-81.993618,0,0,School Incidents,Killed: 0 Injured:0
458776,12/3/2015,Texas,Fort Worth,4501 West Freeway,Texas Fort Worth 4501 West Freeway,32.7314671,-97.3856772,0,0,School Incidents,Killed: 0 Injured:0
462251,12/3/2015,South Dakota,Yankton,1801 Summit Street,South Dakota Yankton 1801 Summit Street,42.8861179,-97.4102541,0,0,School Incidents,Killed: 0 Injured:0
458575,12/3/2015,Wisconsin,Madison,1045 East Dayton Street,Wisconsin Madison 1045 East Dayton Street,43.0857984,-89.371807,0,0,School Incidents,Killed: 0 Injured:0
457802,12/2/2015,Illinois,West Frankfort,601 E. Main St.,Illinois West Frankfort 601 E. Main St.,37.8985165,-88.9208802,0,0,School Incidents,Killed: 0 Injured:0
458234,12/2/2015,Florida,Jacksonville,1200 South McDuff Avenue South,Florida Jacksonville 1200 South McDuff Avenue South,30.3070089,-81.703901,0,0,School Incidents,Killed: 0 Injured:0
459566,12/2/2015,Tennessee,Memphis,2870 Deadrick Ave,Tennessee Memphis 2870 Deadrick Ave,35.1052108,-89.9670552,0,0,School Incidents,Killed: 0 Injured:0
457864,12/1/2015,Wisconsin,Milwaukee,4151 North 56th,Wisconsin Milwaukee 4151 North 56th,43.0924312,-87.9833748,0,0,School Incidents,Killed: 0 Injured:0
458722,12/1/2015,Georgia,Marietta,2451 Favor Road SW,Georgia Marietta 2451 Favor Road SW,33.8919158,-84.5657024,0,0,School Incidents,Killed: 0 Injured:0
457163,12/1/2015,District of Columbia,Washington,3950 Chesapeake St NW,District of Columbia Washington 3950 Chesapeake St NW,38.9504109,-77.0760522,0,0,School Incidents,Killed: 0 Injured:0
464738,12/1/2015,Colorado,Colorado Springs,1815 Jet Wing Drive,Colorado Colorado Springs 1815 Jet Wing Drive,38.807077,-104.740041,0,0,School Incidents,Killed: 0 Injured:0
456624,11/30/2015,South Carolina,Simpsonville,3665 S Industrial Dr.,South Carolina Simpsonville 3665 S Industrial Dr.,34.7146829,-82.2463294,0,0,School Incidents,Killed: 0 Injured:0
455868,11/30/2015,Illinois,Barrington,616 W Main St,Illinois Barrington 616 W Main St,42.1561048,-88.1475898,0,0,School Incidents,Killed: 0 Injured:0
456512,11/30/2015,Indiana,Indianapolis,1301 W 73rd St,Indiana Indianapolis 1301 W 73rd St,39.8850471,-86.1820101,0,0,School Incidents,Killed: 0 Injured:0
456291,11/30/2015,Louisiana,Kenner,3315 Maine Avenue,Louisiana Kenner 3315 Maine Avenue,30.0163039,-90.2298894,0,2,School Incidents,Killed: 0 Injured:2
460684,11/27/2015,New York,Canton,34 Cornell Drive,New York Canton 34 Cornell Drive,44.6013495,-75.1831272,0,0,School Incidents,Killed: 0 Injured:0
453397,11/25/2015,Washington,Tenino,500 West 2nd St.,Washington Tenino 500 West 2nd St.,46.8588324,-122.8570376,0,0,School Incidents,Killed: 0 Injured:0
452429,11/23/2015,Idaho,Lewiston,3610 12th St,Idaho Lewiston 3610 12th St,46.3716062,-116.9715297,0,0,School Incidents,Killed: 0 Injured:0
451927,11/20/2015,Florida,Miami (Doral),11000 NW 27th Ave,Florida Miami (Doral) 11000 NW 27th Ave,25.8744774,-80.2428655,0,0,School Incidents,Killed: 0 Injured:0
450705,11/19/2015,Missouri,Benton,4035 MO-77,Missouri Benton 4035 MO-77,37.0459898,-89.4762299,0,0,School Incidents,Killed: 0 Injured:0
450134,11/19/2015,Tennessee,Memphis,1270 N Graham St,Tennessee Memphis 1270 N Graham St,35.1663834,-89.9244473,0,0,School Incidents,Killed: 0 Injured:0
449736,11/18/2015,Idaho,Nampa,203 Lake Lowell Ave,Idaho Nampa 203 Lake Lowell Ave,43.5597508,-116.5757017,0,0,School Incidents,Killed: 0 Injured:0
450759,11/18/2015,Maryland,Baltimore,1301 McCulloh St,Maryland Baltimore 1301 McCulloh St,39.3033242,-76.628365,0,0,School Incidents,Killed: 0 Injured:0
454488,11/18/2015,Kansas,Wichita,2000 block of S. Meridian,Kansas Wichita 2000 block of S. Meridian,37.657684,-97.3699569,0,0,School Incidents,Killed: 0 Injured:0
450548,11/18/2015,North Carolina,Jamestown,1000 Lucy Ragsdale School Rd,North Carolina Jamestown 1000 Lucy Ragsdale School Rd,35.9939795,-79.9173462,0,0,School Incidents,Killed: 0 Injured:0
450523,11/18/2015,Mississippi,Ellisville,Stadium Ave,Mississippi Ellisville Stadium Ave,31.595013,-89.2006426,0,0,School Incidents,Killed: 0 Injured:0
451067,11/18/2015,North Carolina,Lillington,10637 NC-27,North Carolina Lillington 10637 NC-27,35.3362054,-78.980964,0,0,School Incidents,Killed: 0 Injured:0
449296,11/18/2015,Ohio,Franklin,750 E 4th St,Ohio Franklin 750 E 4th St,39.5539146,-84.2869139,0,0,School Incidents,Killed: 0 Injured:0
450458,11/18/2015,New York,Ronkonkoma,Pond Road and Peconic Street,New York Ronkonkoma Pond Road and Peconic Street,40.8012481,-73.1190622,0,2,School Incidents,Killed: 0 Injured:2
449861,11/18/2015,Texas,New Braunfels,1510 North Interstate 35,Texas New Braunfels 1510 North Interstate 35,29.7074512,-98.0867625,0,0,School Incidents,Killed: 0 Injured:0
450270,11/17/2015,Oregon,Rainier,308 2nd St SE,Oregon Rainier 308 2nd St SE,46.0885328,-122.9376106,0,0,School Incidents,Killed: 0 Injured:0
448985,11/17/2015,Ohio,Zanesville,727 Seborn Avenue,Ohio Zanesville 727 Seborn Avenue,39.920555,-82.0164245,0,0,School Incidents,Killed: 0 Injured:0
448771,11/17/2015,Texas,Lubbock,2500 block of Main Street,Texas Lubbock 2500 block of Main Street,33.5778631,-101.8551665,0,0,School Incidents,Killed: 0 Injured:0
449067,11/16/2015,Washington,Tacoma,2112 S Tyler St,Washington Tacoma 2112 S Tyler St,47.2401696,-122.4953269,0,0,School Incidents,Killed: 0 Injured:0
449051,11/16/2015,Pennsylvania,Pittsburgh,7100 block of McPherson Boulevard,Pennsylvania Pittsburgh 7100 block of McPherson Boulevard,40.452544,-79.9016509,0,0,School Incidents,Killed: 0 Injured:0
451513,11/14/2015,Louisiana,Baton Rouge,262 West State Street,Louisiana Baton Rouge 262 West State Street,30.4191236,-91.178983,0,0,School Incidents,Killed: 0 Injured:0
